rodada,posicao_ebt,nota,dt_inicio_avaliacao,dt_fim_avaliacao,uf,nome_uf,municipio,populacao,pontos_resposta_perguntas,pontos_transp_passiva,total_pontos,nota_1
1,1,10.00,29/01/2015,12/03/2015,SC,Santa Catarina,Apiuna,10211,1000,2700,3600,10.00
1,1,10.00,01/04/2015,24/04/2015,SP,Sao Paulo,Sao Paulo,11895893,1000,2700,3600,10.00
1,3,9.58,19/01/2015,17/03/2015,PB,Paraiba,Nazarezinho,7330,1000,2700,3450,9.58
1,4,9.44,05/02/2015,12/03/2015,SC,Santa Catarina,Correia Pinto,14063,1000,2500,3400,9.44
1,4,9.44,05/02/2015,12/03/2015,SC,Santa Catarina,Frei Rogerio,2301,1000,2500,3400,9.44
1,6,9.31,01/04/2015,24/04/2015,PR,Parana,Curitiba,1864416,1000,2450,3350,9.31
1,7,9.17,06/02/2015,16/03/2015,SC,Santa Catarina,Imbuia,5993,1000,2500,3300,9.17
1,8,8.89,31/03/2015,23/04/2015,DF,Distrito Federal,Brasilia,2852372,700,2300,3200,8.89
1,9,8.75,01/04/2015,27/04/2015,PE,Pernambuco,Recife,1608488,700,2250,3150,8.75
1,10,8.61,31/03/2015,23/04/2015,CE,Ceara,Fortaleza,2571896,1000,2200,3100,8.61
1,11,8.47,22/01/2015,17/03/2015,PB,Paraiba,Sao Jose do Sabugi,4114,700,2150,3050,8.47
1,11,8.47,01/04/2015,24/04/2015,PB,Paraiba,Joao Pessoa,780738,700,2150,3050,8.47
1,11,8.47,01/04/2015,24/04/2015,SC,Santa Catarina,Florianopolis,461524,700,2400,3050,8.47
1,14,8.33,22/01/2015,17/03/2015,PB,Paraiba,Taperoa,15284,700,2250,3000,8.33
1,15,8.19,02/02/2015,16/03/2015,SC,Santa Catarina,Monte Carlo,9650,700,2050,2950,8.19
1,15,8.19,29/01/2015,12/03/2015,SC,Santa Catarina,Bombinhas,16897,700,2050,2950,8.19
1,15,8.19,13/01/2015,17/03/2015,RS,Rio Grande do Sul,Sao Paulo das Missoes,6385,1000,2200,2950,8.19
1,18,7.92,31/03/2015,23/04/2015,RS,Rio Grande do Sul,Porto Alegre,1472482,700,1950,2850,7.92
1,18,7.92,31/03/2015,23/04/2015,MG,Minas Gerais,Belo Horizonte,2491109,400,1950,2850,7.92
1,20,7.78,01/04/2015,24/04/2015,GO,Goias,Goiania,1412364,700,2050,2800,7.78
1,20,7.78,31/03/2015,24/04/2015,AC,Acre,Rio Branco,363928,700,1900,2800,7.78
1,22,7.64,21/01/2015,17/03/2015,PE,Pernambuco,Saire,10633,1000,2200,2750,7.64
1,22,7.64,01/04/2015,24/04/2015,RN,Rio Grande do Norte,Natal,862044,400,2000,2750,7.64
1,22,7.64,05/02/2015,17/03/2015,RS,Rio Grande do Sul,Camargo,2710,1000,2500,2750,7.64
1,25,7.36,21/01/2015,17/03/2015,RS,Rio Grande do Sul,Imigrante,3141,700,1900,2650,7.36
1,25,7.36,28/01/2015,17/03/2015,RS,Rio Grande do Sul,Muitos Capoes,3127,1000,2000,2650,7.36
1,25,7.36,13/01/2015,18/03/2015,RS,Rio Grande do Sul,Tio Hugo,2893,700,1750,2650,7.36
1,28,6.94,06/02/2015,16/03/2015,SC,Santa Catarina,Vargeao,3590,400,1600,2500,6.94
1,29,6.81,01/04/2015,24/04/2015,MS,Mato Grosso do Sul,Campo Grande,843120,400,1800,2450,6.81
1,30,6.67,01/04/2015,24/04/2015,BA,Bahia,Salvador,2902927,200,1500,2400,6.67
1,31,6.25,13/01/2015,17/03/2015,RS,Rio Grande do Sul,Sao Sepe,24448,400,1500,2250,6.25
1,32,6.11,12/01/2015,17/03/2015,RS,Rio Grande do Sul,Pejucara,4062,1000,2200,2200,6.11
1,32,6.11,20/01/2015,17/03/2015,RS,Rio Grande do Sul,Forquetinha,2532,1000,2200,2200,6.11
1,32,6.11,12/01/2015,10/03/2015,SP,Sao Paulo,Alto Alegre,4183,1000,2200,2200,6.11
1,32,6.11,20/01/2015,05/03/2015,MS,Mato Grosso do Sul,Terenos,19434,1000,2200,2200,6.11
1,36,5.56,24/02/2015,19/03/2015,SP,Sao Paulo,Ribeirao Bonito,12831,1000,2000,2000,5.56
1,36,5.56,12/01/2015,17/03/2015,RS,Rio Grande do Sul,Picada Cafe,5498,400,1250,2000,5.56
1,38,5.42,12/01/2015,17/03/2015,RS,Rio Grande do Sul,Nova Petropolis,20275,200,1300,1950,5.42
